,RP11.798L4.1,RP11.408N14.1,RP11.148B18.4,AC114730.2,LINC00652,RP11.662B19.2,RP11.371A19.2,CTD.2529P6.3,AC003991.3,AC005498.3,RP11.888D10.3,GS1.410F4.4,AC002310.7,RP6.65G23.1,BX936347.1,RP11.145H9.3,RP11.134O21.1,RP11.1079K10.2,LINC00665,RP11.656D10.6,RP11.408A13.3,AC122129.1,RP11.182L21.6,RP11.563P16.1,DCTN1.AS1,ARHGAP5.AS1,RP11.247I13.11,SSTR5.AS1,RP11.45A16.4,CTD.2062F14.3
TCGA.BH.A0AZ,-0.601704709,-0.418397667,1.117102239,0.425962253,0.133250008,-1.14589498,0.532196939,0.266346449,-0.286533229,-0.514024428,-0.44926589,1.178951906,-1.512292698,-0.011451091,-0.284493708,0.681478971,1.008207896,-0.183497972,-0.808989155,-0.458871005,-1.488525341,-0.02702604,-1.32429071,1.330541664,-0.943401106,-0.324712508,-0.159816851,-0.545520602,0.977616618,-0.281032234
TCGA.BH.A0B3,-0.601704709,3.508669894,0.080052278,-0.220019248,-0.50222502,0.816465744,-0.9377127,-1.253179655,-1.317469103,0.684639528,0.214590729,2.595561475,0.098927694,0.358821651,-1.149585981,0.853629422,-1.038408597,-0.335153345,0.758575259,0.131921249,0.025463244,-0.162198697,-0.997555764,-1.384246109,-0.024591245,0.424258019,-0.816914263,-0.06823799,-1.047145051,0.343170402
TCGA.BH.A0B5,-0.601704709,-0.418397667,1.029412022,-0.382152135,-0.296949008,1.607127998,-0.9377127,0.860793453,0.488776253,-0.083654106,0.236647897,1.154127437,0.748110656,-0.230204739,-0.489991267,-0.989570578,0.039722578,0.240744189,-0.586997931,-1.383121843,0.252380048,0.986479956,-1.078105485,0.082656685,1.00375825,-1.112736516,0.761979237,0.397727643,-0.30162414,0.606060881
TCGA.BH.A0B6,0.798939133,-0.418397667,0.145400625,1.237274933,-0.146531494,0.305869182,2.105850726,-1.253179655,-0.52092125,-0.098057987,0.32292954,-0.966699684,-1.512292698,0.716013448,-0.059998265,0.12809343,-0.657799172,0.051727363,0.119476428,0.18872402,-0.570485763,-0.872978409,0.525876623,-1.384246109,-0.370453068,-1.10969389,-1.048826863,-0.545520602,1.340773735,0.415944391
TCGA.BH.A0BG,-0.601704709,-0.418397667,0.2761589,-0.41336286,0.914111637,0.951684385,0.699556086,0.813616579,-0.842806338,0.460418725,0.266446477,-0.966699684,0.698238066,-0.086755782,-0.102630525,0.33286171,-0.626744564,0.196501651,0.779620507,0.675201496,0.514513439,-0.8029428,1.289849608,0.781488123,-1.872152469,1.647282783,0.783293248,-0.545520602,-0.019714987,2.014630159
TCGA.BH.A0BJ,-0.601704709,-0.418397667,-1.494979156,-0.553952426,-0.593146589,0.189603262,-0.9377127,-1.253179655,2.141560242,0.22189089,-0.261634069,-0.966699684,-1.512292698,-0.163907809,-0.321415977,-0.989570578,-0.131835242,-0.393755387,-0.307673945,-0.168121454,-0.644007839,0.482421224,0.721246841,0.629051931,-1.067860228,-0.620148547,-1.15659369,-0.545520602,-1.047145051,-0.032130094
TCGA.BH.A0BM,-0.601704709,-0.418397667,-1.494979156,0.667165,-0.552502727,0.572007366,-0.9377127,-1.253179655,1.574361623,0.71323508,0.80275469,-0.966699684,-1.512292698,0.960903784,1.054737966,-0.989570578,0.341781852,-1.764485141,-0.48723154,-1.454813552,0.37132497,0.514894609,1.32720983,-0.209674201,2.597809611,1.236181893,0.696168577,0.043071787,-1.047145051,-0.152280053
TCGA.BH.A0BQ,-0.601704709,-0.418397667,-0.08332935,0.401453331,-0.797579253,0.999933547,0.515285823,0.248864502,-0.723528483,0.983595419,-0.112976577,-0.966699684,-1.512292698,-0.277580607,-0.254668242,1.024490568,1.304125021,0.673794305,0.186163012,-0.333288103,-0.524543675,-1.666554646,0.857330114,-1.384246109,-0.579845838,0.291023137,0.199587869,-0.545520602,-1.047145051,1.041630402
TCGA.BH.A0BT,-0.601704709,-0.418397667,-1.494979156,-0.516851277,-0.987433777,0.230294354,-0.9377127,0.657187663,0.160993056,0.308444833,1.948306126,0.393689773,0.430072444,-0.706659699,1.386906428,0.069910932,-0.470099592,-0.762105125,1.412831897,0.079097367,0.763880623,1.611421912,-0.159170285,-0.443311756,0.413136821,1.180455503,-0.835818098,-0.074006858,-0.224007893,0.810291095
TCGA.BH.A0C0,-0.601704709,-0.418397667,-1.494979156,-0.808693583,0.473392491,-1.14589498,-0.9377127,0.216050606,-0.040737045,-2.833221452,0.735796367,1.563866696,-0.287995905,-0.45640406,1.008540784,-0.989570578,-0.356581326,0.100119996,-1.318094135,-1.158400054,0.583645269,-0.545200523,-0.20329033,0.366059164,0.101318467,-1.204876361,-0.231620151,-0.545520602,-1.047145051,0.127183365
TCGA.BH.A0DE,0.698315968,-0.418397667,0.459038957,0.912139217,0.184552245,-1.14589498,0.3466283,1.673504703,0.29204356,0.57935127,-1.713514588,-0.966699684,1.353676213,-1.182891695,-0.842014166,1.297143267,0.774964484,-1.764485141,-0.956722658,0.529404472,-0.287891386,-0.322121249,0.504796154,-0.086091484,-0.083330231,0.374429841,0.33472614,-0.545520602,0.338721989,-0.42366404
TCGA.BH.A0DG,-0.601704709,-0.418397667,1.617136582,0.617018371,-0.927039167,1.299328316,0.41880568,-1.253179655,-0.097088851,-0.313223953,0.148588283,-0.966699684,0.495387944,0.089974458,-1.163911598,1.421837872,-0.02219896,0.91466201,-0.367638818,0.988672643,-0.588552748,1.231221534,-0.356309534,2.771680653,-1.872152469,-0.177311357,0.034526919,0.796795217,0.826337289,-1.410834496
TCGA.BH.A0DH,-0.601704709,1.384911947,-0.189578576,-1.780689793,-0.103490443,0.262842942,0.405027335,0.702019958,-0.374291773,0.611487448,-0.289592507,-0.966699684,-0.355631112,-0.345180828,0.55231726,0.094968987,-1.852342074,-1.764485141,-0.250600369,1.641847513,-0.597693895,0.620687513,0.387805161,-0.421057489,-0.004371917,0.267915769,-1.08868411,-0.062854971,-1.047145051,0.362649611
TCGA.BH.A0DK,-0.601704709,-0.418397667,1.17571776,-0.126767271,-0.51806224,2.102366029,1.045390184,-1.253179655,-0.506838303,-1.407806638,0.708859403,-0.966699684,0.195989522,0.375769257,-1.43285811,-0.989570578,0.375251697,0.60146251,-2.706258908,1.074537543,0.115925917,-0.076088254,0.501047945,1.222433555,-0.98224941,-1.542177102,0.287443181,-0.039243471,1.23319989,-1.410834496
TCGA.BH.A0DT,-0.601704709,1.303055624,0.796935062,-0.90407435,-1.027870792,-1.14589498,-0.9377127,-1.253179655,-0.7935132,-0.802199592,0.12498166,0.362653012,0.043544426,0.022718143,-0.361418225,-0.989570578,1.052767125,-0.784974039,-0.136106629,-0.814708302,1.237413092,0.605155063,-1.027532781,0.642680297,-1.06226308,0.124777311,0.453902563,-0.545520602,-1.047145051,0.761018258
TCGA.BH.A0DV,-0.601704709,-0.418397667,0.320568127,-0.378675003,0.706462936,-1.14589498,-0.9377127,-1.253179655,-0.4794803,-1.359700272,1.079464688,1.15940037,0.753664554,0.267105749,-0.493971785,-0.989570578,0.498197004,-0.48139341,-1.159656948,-1.375113169,-1.488525341,-0.275290836,0.043432943,-0.179807605,-0.210094512,-0.45540017,-1.236375154,-0.545520602,-0.2997476,-0.495391878
TCGA.BH.A0DX,2.749479715,-0.418397667,-0.252251098,1.021103063,-0.585051043,0.743158032,0.862840168,0.608150465,0.035868879,0.854933821,-0.253280078,0.900665319,1.339663102,1.145444224,0.673003865,-0.989570578,0.762496819,0.765517041,-0.247123951,-0.152272558,0.38045863,1.728534487,0.598835982,-0.467640009,-0.483759712,-1.569435332,0.445565013,-0.545520602,0.082750153,-0.428690558
